Northern Hemisphere Land and Ocean Temperature Anomalies, January-December
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999.0000
Year,Value
1880,-0.19
1881,-0.13
1882,-0.13
1883,-0.24
1884,-0.30
1885,-0.27
1886,-0.24
1887,-0.25
1888,-0.14
1889,-0.16
1890,-0.37
1891,-0.29
1892,-0.39
1893,-0.45
1894,-0.33
1895,-0.30
1896,-0.14
1897,-0.19
1898,-0.25
1899,-0.12
1900,-0.03
1901,-0.08
1902,-0.26
1903,-0.34
1904,-0.45
1905,-0.32
1906,-0.22
1907,-0.45
1908,-0.47
1909,-0.44
1910,-0.39
1911,-0.42
1912,-0.46
1913,-0.40
1914,-0.17
1915,-0.07
1916,-0.31
1917,-0.37
1918,-0.24
1919,-0.29
1920,-0.25
1921,-0.07
1922,-0.23
1923,-0.19
1924,-0.18
1925,-0.06
1926,0.03
1927,-0.09
1928,-0.11
1929,-0.26
1930,-0.00
1931,0.02
1932,-0.03
1933,-0.23
1934,-0.02
1935,-0.06
1936,-0.02
1937,0.08
1938,0.08
1939,0.05
1940,0.10
1941,0.20
1942,0.16
1943,0.19
1944,0.26
1945,0.10
1946,0.06
1947,-0.01
1948,0.03
1949,-0.01
1950,-0.17
1951,0.07
1952,0.03
1953,0.17
1954,-0.07
1955,-0.06
1956,-0.21
1957,0.05
1958,0.17
1959,0.09
1960,0.05
1961,0.09
1962,0.14
1963,0.19
1964,-0.15
1965,-0.11
1966,0.03
1967,0.04
1968,-0.01
1969,-0.00
1970,-0.01
1971,-0.12
1972,-0.15
1973,0.11
1974,-0.18
1975,-0.03
1976,-0.19
1977,0.12
1978,0.06
1979,0.12
1980,0.18
1981,0.33
1982,0.10
1983,0.28
1984,0.03
1985,-0.01
1986,0.15
1987,0.29
1988,0.36
1989,0.29
1990,0.46
1991,0.39
1992,0.16
1993,0.22
1994,0.34
1995,0.53
1996,0.27
1997,0.54
1998,0.68
1999,0.51
2000,0.48
2001,0.61
2002,0.66
2003,0.69
2004,0.66
2005,0.78
2006,0.72
2007,0.76
2008,0.64
2009,0.67
2010,0.82
2011,0.67
2012,0.71
2013,0.76
2014,0.86
2015,1.09
2016,1.13
