9.0 deg N, 79.6 deg W April Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -9999
Year,Value
1880,-9999
1881,-9999
1882,-0.97
1883,-9999
1884,0.08
1885,-1.56
1886,-0.45
1887,-0.90
1888,-0.37
1889,0.16
1890,-0.73
1891,0.13
1892,-0.64
1893,-1.32
1894,-1.18
1895,-9999
1896,-0.43
1897,-0.21
1898,-0.96
1899,-0.17
1900,-9999
1901,-0.02
1902,-9999
1903,-9999
1904,-0.97
1905,-0.90
1906,-0.99
1907,-1.37
1908,-1.36
1909,-0.79
1910,-1.44
1911,-1.00
1912,-0.90
1913,-0.88
1914,-1.16
1915,-0.24
1916,-1.06
1917,-0.97
1918,-1.01
1919,-0.53
1920,-0.74
1921,-1.07
1922,-1.01
1923,-1.05
1924,-0.70
1925,-0.54
1926,-0.51
1927,-0.86
1928,-0.62
1929,-0.84
1930,-0.45
1931,-0.32
1932,-0.08
1933,-0.64
1934,-0.84
1935,-0.68
1936,-0.23
1937,-0.24
1938,-1.09
1939,-0.84
1940,-0.32
1941,0.31
1942,0.08
1943,-0.62
1944,-0.26
1945,-0.72
1946,-0.65
1947,-0.64
1948,-0.65
1949,-0.53
1950,-1.21
1951,-0.52
1952,-0.75
1953,0.10
1954,-1.00
1955,-0.98
1956,-0.36
1957,-0.26
1958,0.58
1959,0.11
1960,-0.42
1961,-0.28
1962,-0.72
1963,-0.41
1964,-0.44
1965,-0.32
1966,-0.31
1967,-0.76
1968,-1.10
1969,0.50
1970,-0.25
1971,-0.73
1972,-0.20
1973,0.15
1974,-0.55
1975,-0.47
1976,-0.51
1977,-0.53
1978,-0.26
1979,-0.18
1980,-0.18
1981,-0.29
1982,-0.28
1983,1.06
1984,-0.38
1985,-0.87
1986,-0.55
1987,0.44
1988,-0.24
1989,-0.47
1990,-0.07
1991,-0.36
1992,0.69
1993,0.35
1994,-0.53
1995,-0.17
1996,-0.53
1997,0.11
1998,1.26
1999,-0.43
2000,-0.35
2001,-0.29
2002,0.10
2003,0.18
2004,0.20
2005,0.55
2006,-0.26
2007,0.02
2008,0.06
2009,-0.13
2010,1.21
2011,-0.12
2012,0.15
2013,-0.04
2014,0.34
2015,0.43
2016,0.63
2017,0.32
