9.0 deg N, 79.6 deg W August Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -9999
Year,Value
1880,-0.28
1881,-0.11
1882,-9999
1883,-9999
1884,-0.38
1885,-9999
1886,-0.67
1887,-0.85
1888,-0.26
1889,-0.63
1890,-0.95
1891,-0.64
1892,-0.77
1893,-0.58
1894,-0.63
1895,-0.59
1896,-0.27
1897,-0.49
1898,-0.70
1899,-0.47
1900,-0.55
1901,-0.77
1902,-0.21
1903,-0.99
1904,-0.75
1905,-0.30
1906,-0.70
1907,-0.97
1908,-1.01
1909,-0.62
1910,-0.73
1911,-0.57
1912,-0.92
1913,-0.99
1914,-0.76
1915,-0.42
1916,-0.76
1917,-0.58
1918,-0.37
1919,-0.62
1920,-0.73
1921,-0.62
1922,-0.62
1923,-0.84
1924,-0.82
1925,-0.33
1926,-0.61
1927,-0.42
1928,-0.71
1929,-0.53
1930,-0.67
1931,-0.35
1932,-0.26
1933,-0.46
1934,-0.37
1935,-0.48
1936,-0.29
1937,-0.23
1938,-0.54
1939,-0.30
1940,-0.18
1941,-0.13
1942,-0.23
1943,-0.13
1944,-0.02
1945,0.00
1946,-0.51
1947,-0.70
1948,-0.35
1949,-0.68
1950,-0.71
1951,0.10
1952,-0.35
1953,0.22
1954,-0.50
1955,-0.55
1956,-0.33
1957,0.24
1958,-0.16
1959,-0.49
1960,-0.47
1961,-0.39
1962,-0.38
1963,-0.05
1964,-0.75
1965,-0.26
1966,-0.44
1967,-0.52
1968,-0.40
1969,-0.33
1970,-0.48
1971,-0.75
1972,-0.10
1973,-0.59
1974,-0.62
1975,-0.88
1976,-0.41
1977,-0.45
1978,-0.59
1979,-0.26
1980,-0.12
1981,-0.68
1982,-0.05
1983,0.34
1984,-0.59
1985,-0.42
1986,-0.04
1987,0.20
1988,-0.43
1989,-0.17
1990,-0.13
1991,0.02
1992,-0.15
1993,-0.07
1994,-0.16
1995,-0.23
1996,-0.47
1997,0.90
1998,0.47
1999,-0.30
2000,-0.12
2001,0.22
2002,0.16
2003,0.23
2004,0.06
2005,0.32
2006,0.20
2007,-0.06
2008,0.42
2009,0.39
2010,0.09
2011,0.35
2012,0.20
2013,0.13
2014,0.32
2015,0.77
2016,0.63
2017,0.49
