9.0 deg N, 79.6 deg W December Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -9999
Year,Value
1880,-9999
1881,-9999
1882,-9999
1883,-9999
1884,-0.59
1885,-0.30
1886,-0.69
1887,-9999
1888,-0.08
1889,-1.10
1890,-0.85
1891,-0.31
1892,-0.77
1893,-1.07
1894,-0.67
1895,-0.10
1896,0.00
1897,-0.61
1898,-0.51
1899,0.04
1900,-0.21
1901,-0.37
1902,0.01
1903,-0.66
1904,-0.50
1905,-0.30
1906,-0.86
1907,-0.66
1908,-0.72
1909,-0.97
1910,-0.78
1911,-0.34
1912,-0.51
1913,-0.42
1914,-0.14
1915,-0.58
1916,-1.12
1917,-1.20
1918,-0.12
1919,-0.95
1920,-0.67
1921,-0.64
1922,-1.18
1923,-0.66
1924,-0.96
1925,-0.21
1926,-0.66
1927,-0.56
1928,-0.42
1929,-0.81
1930,0.15
1931,-0.50
1932,-0.83
1933,-1.08
1934,-0.77
1935,-0.36
1936,-0.43
1937,-0.26
1938,-0.57
1939,-0.33
1940,-0.15
1941,0.05
1942,-0.70
1943,-0.55
1944,-0.45
1945,-0.15
1946,-0.31
1947,-0.32
1948,-0.60
1949,-0.46
1950,-0.65
1951,-0.28
1952,-0.46
1953,-0.10
1954,-0.61
1955,-0.61
1956,-0.56
1957,0.27
1958,-0.04
1959,-0.14
1960,-0.21
1961,-0.51
1962,-0.31
1963,-0.14
1964,-0.73
1965,0.01
1966,-0.49
1967,-0.52
1968,-0.13
1969,-0.10
1970,-0.74
1971,-0.74
1972,0.24
1973,-0.91
1974,-0.70
1975,-1.05
1976,-0.09
1977,0.00
1978,-0.45
1979,-0.04
1980,-0.34
1981,-0.37
1982,0.24
1983,-0.14
1984,-0.77
1985,-0.56
1986,0.13
1987,0.51
1988,-0.55
1989,0.04
1990,-0.31
1991,-0.05
1992,-0.08
1993,0.06
1994,0.26
1995,-0.12
1996,-0.42
1997,0.99
1998,-0.37
1999,-0.26
2000,-0.03
2001,0.22
2002,0.54
2003,0.31
2004,0.38
2005,0.00
2006,0.45
2007,-0.42
2008,-0.26
2009,0.79
2010,-0.23
2011,-0.11
2012,0.26
2013,0.15
2014,0.31
2015,1.42
2016,0.03
