9.0 deg N, 79.6 deg W February Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -9999
Year,Value
1880,-0.56
1881,0.13
1882,-0.91
1883,-0.97
1884,-0.19
1885,-0.82
1886,-0.39
1887,-1.16
1888,-0.61
1889,0.04
1890,-1.18
1891,-0.53
1892,-0.37
1893,-0.90
1894,-1.07
1895,-0.13
1896,-0.18
1897,-0.33
1898,-0.41
1899,-1.16
1900,-9999
1901,0.11
1902,-9999
1903,-0.24
1904,-1.00
1905,-0.81
1906,-0.54
1907,-1.35
1908,-0.64
1909,-1.04
1910,-1.06
1911,-1.39
1912,-0.30
1913,-1.03
1914,-0.92
1915,-0.21
1916,-1.30
1917,-1.58
1918,-1.14
1919,-0.25
1920,-0.80
1921,-0.85
1922,-0.98
1923,-1.31
1924,-0.69
1925,-1.11
1926,-0.36
1927,-0.95
1928,-0.50
1929,-0.78
1930,-0.73
1931,-0.29
1932,-0.83
1933,-0.54
1934,-1.11
1935,-0.88
1936,-0.24
1937,-0.24
1938,-0.87
1939,-0.94
1940,-0.60
1941,0.42
1942,0.44
1943,-0.35
1944,-0.56
1945,-0.43
1946,-0.40
1947,-0.27
1948,-0.38
1949,-0.72
1950,-1.22
1951,-0.72
1952,-0.46
1953,0.01
1954,-0.40
1955,-0.54
1956,-0.69
1957,-0.52
1958,0.70
1959,-0.13
1960,0.11
1961,-0.01
1962,-0.46
1963,-0.44
1964,0.26
1965,-0.42
1966,0.27
1967,-0.53
1968,-0.83
1969,0.00
1970,-0.15
1971,-0.88
1972,-0.53
1973,0.34
1974,-0.84
1975,-0.85
1976,-1.08
1977,-0.17
1978,0.19
1979,-0.06
1980,-0.08
1981,-0.24
1982,-0.32
1983,0.64
1984,-0.22
1985,-0.82
1986,-0.71
1987,0.29
1988,0.06
1989,-0.75
1990,-0.09
1991,-0.18
1992,0.29
1993,0.01
1994,-0.29
1995,0.23
1996,-0.14
1997,-0.13
1998,1.31
1999,-0.44
2000,-0.47
2001,-0.32
2002,0.24
2003,0.51
2004,0.25
2005,-0.02
2006,0.05
2007,0.29
2008,0.01
2009,-0.38
2010,1.28
2011,-0.05
2012,0.00
2013,0.28
2014,0.17
2015,0.39
2016,1.17
2017,0.41
