9.0 deg N, 79.6 deg W January Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -9999
Year,Value
1880,-1.27
1881,0.10
1882,-1.14
1883,-0.68
1884,-9999
1885,-0.63
1886,-0.19
1887,-0.92
1888,-0.68
1889,0.07
1890,-1.36
1891,-0.55
1892,-0.33
1893,-0.79
1894,-1.17
1895,-0.51
1896,-0.05
1897,0.08
1898,-0.55
1899,-9999
1900,-9999
1901,-0.09
1902,-0.25
1903,-0.05
1904,-0.77
1905,-0.71
1906,-0.27
1907,-1.25
1908,-0.60
1909,-0.95
1910,-0.95
1911,-1.38
1912,-0.59
1913,-0.48
1914,-0.61
1915,0.00
1916,-0.99
1917,-1.50
1918,-0.61
1919,-0.28
1920,-0.97
1921,-0.89
1922,-0.58
1923,-1.09
1924,-0.64
1925,-1.23
1926,-0.27
1927,-0.62
1928,-0.52
1929,-0.68
1930,-0.87
1931,0.06
1932,-0.43
1933,-0.55
1934,-1.14
1935,-0.68
1936,-0.40
1937,-0.60
1938,-0.40
1939,-0.53
1940,-0.27
1941,0.10
1942,0.28
1943,-0.50
1944,-0.48
1945,-0.39
1946,-0.47
1947,-0.30
1948,-0.25
1949,-0.49
1950,-0.95
1951,-0.58
1952,-0.24
1953,-0.24
1954,-0.16
1955,-0.28
1956,-0.80
1957,-0.78
1958,0.61
1959,0.18
1960,-0.17
1961,0.04
1962,-0.33
1963,-0.31
1964,0.08
1965,-0.79
1966,0.43
1967,-0.53
1968,-0.63
1969,-0.06
1970,0.01
1971,-1.02
1972,-0.82
1973,0.55
1974,-0.93
1975,-0.61
1976,-0.98
1977,-0.04
1978,-0.02
1979,-0.29
1980,-0.02
1981,-0.41
1982,-0.34
1983,0.58
1984,-0.36
1985,-1.04
1986,-0.37
1987,0.16
1988,0.33
1989,-0.45
1990,-0.03
1991,-0.18
1992,0.14
1993,-0.16
1994,-0.09
1995,0.41
1996,-0.27
1997,-0.36
1998,1.04
1999,-0.21
2000,-0.37
2001,-0.17
2002,0.23
2003,0.66
2004,0.33
2005,0.17
2006,0.23
2007,0.42
2008,-0.22
2009,-0.21
2010,0.66
2011,0.13
2012,-0.03
2013,0.37
2014,0.45
2015,0.47
2016,1.47
2017,0.48
