9.0 deg N, 79.6 deg W June Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -9999
Year,Value
1880,-0.18
1881,-9999
1882,-9999
1883,-9999
1884,-0.43
1885,-1.36
1886,-0.64
1887,-0.83
1888,-0.14
1889,-0.25
1890,-0.80
1891,-0.33
1892,-1.08
1893,-1.09
1894,-0.65
1895,-0.54
1896,-0.90
1897,-0.55
1898,-9999
1899,-0.84
1900,-9999
1901,-0.44
1902,-9999
1903,-9999
1904,-0.99
1905,-0.51
1906,-1.11
1907,-1.02
1908,-1.04
1909,-0.82
1910,-0.92
1911,-0.43
1912,-0.61
1913,-1.05
1914,-0.75
1915,-0.72
1916,-1.13
1917,-0.77
1918,-0.72
1919,-0.45
1920,-1.07
1921,-0.86
1922,-0.99
1923,-0.55
1924,-0.93
1925,-0.55
1926,-0.49
1927,-0.73
1928,-0.92
1929,-0.78
1930,-0.31
1931,-0.26
1932,-0.23
1933,-0.59
1934,-0.66
1935,-0.58
1936,-0.22
1937,-0.50
1938,-0.57
1939,-0.40
1940,0.06
1941,0.31
1942,-0.39
1943,-0.30
1944,-0.47
1945,-0.91
1946,-0.15
1947,-0.77
1948,0.00
1949,-0.43
1950,-0.93
1951,0.09
1952,-0.70
1953,-0.14
1954,-0.65
1955,-0.72
1956,-0.59
1957,0.20
1958,0.26
1959,-0.41
1960,-0.33
1961,-0.38
1962,-0.73
1963,-0.40
1964,-0.91
1965,0.05
1966,-0.52
1967,-0.87
1968,-1.08
1969,0.54
1970,-0.38
1971,-0.90
1972,0.18
1973,-0.40
1974,-0.78
1975,-0.70
1976,-0.35
1977,-0.39
1978,-0.40
1979,-0.16
1980,-0.01
1981,-0.57
1982,-0.24
1983,1.05
1984,-0.59
1985,-0.49
1986,-0.33
1987,0.39
1988,-0.25
1989,-0.52
1990,0.10
1991,0.01
1992,0.38
1993,0.55
1994,-0.19
1995,-0.23
1996,-0.50
1997,0.54
1998,0.97
1999,-0.32
2000,-0.08
2001,-0.59
2002,-0.01
2003,-0.01
2004,-0.15
2005,0.50
2006,0.27
2007,-0.16
2008,-0.01
2009,0.06
2010,0.36
2011,0.30
2012,0.49
2013,-0.09
2014,0.86
2015,1.03
2016,0.65
2017,0.42
