9.0 deg N, 79.6 deg W March Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -9999
Year,Value
1880,-9999
1881,0.18
1882,-1.10
1883,-0.88
1884,-9999
1885,-0.91
1886,-0.59
1887,-0.99
1888,-0.27
1889,0.25
1890,-0.88
1891,0.09
1892,-0.33
1893,-0.84
1894,-1.05
1895,-0.98
1896,-0.32
1897,-0.20
1898,-0.69
1899,-1.53
1900,-9999
1901,-0.26
1902,-0.69
1903,-0.27
1904,-1.11
1905,-0.82
1906,-0.64
1907,-1.72
1908,-1.37
1909,-0.66
1910,-1.60
1911,-1.24
1912,-0.48
1913,-1.00
1914,-0.65
1915,0.09
1916,-1.49
1917,-1.28
1918,-1.34
1919,-0.73
1920,-0.62
1921,-1.14
1922,-0.86
1923,-1.41
1924,-0.39
1925,-1.02
1926,-0.70
1927,-0.68
1928,-0.53
1929,-0.74
1930,-0.30
1931,-0.21
1932,-0.30
1933,-0.63
1934,-1.10
1935,-0.96
1936,-0.04
1937,-0.15
1938,-0.87
1939,-1.28
1940,-0.35
1941,0.38
1942,0.20
1943,-0.89
1944,-0.40
1945,-0.42
1946,-0.62
1947,-0.24
1948,-0.58
1949,-0.63
1950,-1.01
1951,-0.90
1952,-0.31
1953,-0.19
1954,-0.41
1955,-1.08
1956,-0.35
1957,0.08
1958,0.70
1959,0.23
1960,-0.28
1961,-0.28
1962,-0.62
1963,-0.21
1964,0.04
1965,-0.29
1966,-0.14
1967,-0.89
1968,-0.93
1969,0.77
1970,-0.37
1971,-0.67
1972,-0.38
1973,0.34
1974,-0.90
1975,-0.35
1976,-1.03
1977,-0.13
1978,-0.21
1979,-0.24
1980,-0.06
1981,0.00
1982,-0.31
1983,0.94
1984,-0.28
1985,-0.91
1986,-0.84
1987,0.53
1988,0.01
1989,-0.91
1990,-0.21
1991,0.06
1992,0.55
1993,-0.03
1994,-0.37
1995,0.01
1996,-0.28
1997,-0.03
1998,1.26
1999,-0.19
2000,-0.65
2001,-0.25
2002,0.26
2003,0.60
2004,-0.12
2005,0.44
2006,-0.04
2007,0.15
2008,-0.11
2009,-0.62
2010,1.23
2011,-0.35
2012,-0.06
2013,0.10
2014,0.21
2015,0.31
2016,0.99
2017,0.55
