9.0 deg N, 79.6 deg W November Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -9999
Year,Value
1880,-9999
1881,-9999
1882,-9999
1883,-9999
1884,-0.62
1885,-0.38
1886,-0.63
1887,-0.72
1888,-0.22
1889,-0.74
1890,-1.04
1891,-0.41
1892,-0.95
1893,-9999
1894,-0.70
1895,-0.26
1896,-0.17
1897,-0.44
1898,-0.23
1899,0.02
1900,-9999
1901,-9999
1902,-9999
1903,-0.73
1904,-0.41
1905,-0.28
1906,-0.73
1907,-0.78
1908,-0.87
1909,-0.87
1910,-0.56
1911,-0.19
1912,-0.76
1913,-0.64
1914,-0.74
1915,-0.58
1916,-0.91
1917,-0.85
1918,-0.16
1919,-0.87
1920,-0.80
1921,-1.00
1922,-0.79
1923,-0.31
1924,-0.80
1925,-0.43
1926,-0.54
1927,-0.48
1928,-0.32
1929,-0.58
1930,0.05
1931,-0.62
1932,-0.68
1933,-1.05
1934,-0.65
1935,-0.57
1936,-0.16
1937,-0.17
1938,-0.41
1939,-0.62
1940,-0.16
1941,-0.03
1942,-0.37
1943,-0.33
1944,-0.38
1945,-0.31
1946,-0.19
1947,-0.20
1948,-0.16
1949,-0.62
1950,-0.88
1951,-0.10
1952,-0.36
1953,-0.11
1954,-0.55
1955,-0.52
1956,-0.51
1957,0.05
1958,-0.02
1959,-0.25
1960,-0.28
1961,-0.62
1962,-0.20
1963,-0.22
1964,-0.50
1965,-0.16
1966,-0.31
1967,-0.46
1968,-0.34
1969,0.08
1970,-0.64
1971,-0.58
1972,0.14
1973,-0.67
1974,-0.59
1975,-1.12
1976,0.02
1977,-0.05
1978,-0.09
1979,-0.25
1980,-0.25
1981,-0.41
1982,0.14
1983,-0.05
1984,-0.65
1985,-0.54
1986,-0.05
1987,0.64
1988,-0.26
1989,-0.07
1990,0.10
1991,-0.03
1992,0.01
1993,-0.12
1994,-0.02
1995,-0.19
1996,-0.25
1997,0.56
1998,-0.12
1999,-0.28
2000,0.02
2001,0.05
2002,0.31
2003,0.51
2004,0.17
2005,-0.16
2006,0.35
2007,-0.23
2008,0.14
2009,0.62
2010,-0.16
2011,-0.09
2012,0.38
2013,0.43
2014,0.32
2015,0.99
2016,0.33
