9.0 deg N, 79.6 deg W October Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -9999
Year,Value
1880,-0.09
1881,-9999
1882,-9999
1883,-9999
1884,-0.75
1885,-0.16
1886,-0.52
1887,-1.09
1888,-0.31
1889,-0.37
1890,-0.70
1891,-0.26
1892,-0.90
1893,-0.36
1894,-0.92
1895,-0.22
1896,0.13
1897,-0.06
1898,-9999
1899,0.01
1900,-9999
1901,-0.39
1902,-9999
1903,-0.56
1904,-0.73
1905,-0.60
1906,-0.81
1907,-0.82
1908,-0.89
1909,-0.51
1910,-0.45
1911,-0.37
1912,-0.78
1913,-0.77
1914,-0.82
1915,-0.41
1916,-0.88
1917,-0.83
1918,-0.55
1919,-0.87
1920,-0.71
1921,-0.56
1922,-0.71
1923,-0.63
1924,-0.55
1925,-0.65
1926,-0.63
1927,-0.40
1928,-0.47
1929,-0.34
1930,-0.40
1931,-0.41
1932,-0.54
1933,-0.78
1934,-0.59
1935,-0.49
1936,-0.35
1937,-0.18
1938,-0.18
1939,-0.45
1940,-0.26
1941,0.18
1942,-0.31
1943,0.02
1944,-0.30
1945,-0.33
1946,-0.29
1947,-0.49
1948,-0.22
1949,-0.81
1950,-0.83
1951,-0.03
1952,-0.10
1953,-0.23
1954,-0.96
1955,-0.65
1956,-0.52
1957,0.14
1958,0.15
1959,-0.41
1960,-0.24
1961,-0.13
1962,-0.29
1963,0.19
1964,-0.50
1965,-0.13
1966,-0.13
1967,-0.31
1968,-0.33
1969,-0.31
1970,-0.47
1971,-0.80
1972,0.08
1973,-0.65
1974,-0.82
1975,-0.71
1976,-0.12
1977,-0.27
1978,-0.30
1979,-0.06
1980,-0.11
1981,-0.57
1982,-0.13
1983,-0.10
1984,-0.38
1985,-0.41
1986,-0.45
1987,0.46
1988,-0.31
1989,-0.24
1990,-0.25
1991,-0.14
1992,-0.15
1993,0.00
1994,-0.02
1995,-0.04
1996,-0.29
1997,0.64
1998,0.10
1999,-0.37
2000,0.30
2001,0.14
2002,0.12
2003,0.53
2004,0.49
2005,-0.09
2006,0.69
2007,-0.22
2008,0.18
2009,0.49
2010,0.07
2011,-0.03
2012,0.26
2013,0.37
2014,0.30
2015,0.98
2016,0.58
