37.0 deg N, 76.3 deg W April Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -9999
Year,Value
1880,0.08
1881,-2.20
1882,-1.20
1883,-1.50
1884,-1.68
1885,-0.94
1886,-0.38
1887,-1.67
1888,-1.73
1889,-0.86
1890,-0.66
1891,-0.29
1892,-1.39
1893,-0.48
1894,-0.78
1895,-0.88
1896,0.96
1897,-0.72
1898,-1.68
1899,-0.54
1900,-0.64
1901,-2.28
1902,-1.49
1903,-0.72
1904,-1.94
1905,-0.64
1906,0.10
1907,-3.17
1908,0.23
1909,-0.22
1910,0.43
1911,-2.10
1912,0.33
1913,0.14
1914,-0.78
1915,0.43
1916,-1.27
1917,-0.46
1918,-1.32
1919,-0.99
1920,-1.07
1921,1.66
1922,0.11
1923,-0.88
1924,-1.48
1925,0.74
1926,-1.38
1927,-1.18
1928,-1.27
1929,1.15
1930,-0.70
1931,-0.95
1932,-1.04
1933,-0.15
1934,-0.20
1935,-1.36
1936,-1.26
1937,-0.52
1938,0.57
1939,-0.44
1940,-1.85
1941,0.90
1942,0.65
1943,-1.49
1944,-0.59
1945,1.86
1946,-0.19
1947,0.32
1948,0.17
1949,0.03
1950,-1.12
1951,-0.12
1952,0.40
1953,-0.20
1954,1.40
1955,0.97
1956,-1.25
1957,1.24
1958,-0.38
1959,0.37
1960,0.92
1961,-2.03
1962,-0.37
1963,0.03
1964,-0.91
1965,-1.32
1966,-2.07
1967,-0.23
1968,-0.15
1969,0.13
1970,-0.61
1971,-1.43
1972,-0.88
1973,-0.30
1974,0.64
1975,-1.69
1976,0.80
1977,0.89
1978,-0.73
1979,-0.47
1980,0.11
1981,0.77
1982,-1.30
1983,-0.99
1984,-0.95
1985,1.36
1986,0.28
1987,-0.69
1988,-0.95
1989,-0.62
1990,0.07
1991,0.73
1992,-0.65
1993,-0.82
1994,1.53
1995,-0.37
1996,-0.46
1997,-1.36
1998,0.29
1999,0.27
2000,-0.13
2001,0.26
2002,1.52
2003,-0.38
2004,-0.13
2005,-0.07
2006,1.02
2007,-0.84
2008,0.69
2009,0.29
2010,1.60
2011,1.11
2012,0.76
2013,0.47
2014,0.01
2015,0.52
2016,0.30
2017,2.45
