37.0 deg N, 76.3 deg W August Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -9999
Year,Value
1880,-0.46
1881,0.36
1882,-0.49
1883,-1.60
1884,-1.11
1885,-0.97
1886,-1.13
1887,-1.12
1888,-0.89
1889,-1.76
1890,-1.73
1891,-0.97
1892,0.13
1893,-1.11
1894,-0.84
1895,-0.13
1896,-0.11
1897,-0.79
1898,0.29
1899,-0.27
1900,1.47
1901,0.16
1902,-1.15
1903,-1.38
1904,-1.02
1905,-1.25
1906,0.36
1907,-1.53
1908,-1.08
1909,-1.45
1910,-1.13
1911,-0.02
1912,-0.98
1913,-0.75
1914,-0.33
1915,-0.59
1916,-0.72
1917,-0.63
1918,0.12
1919,-1.26
1920,-1.08
1921,-1.12
1922,-1.53
1923,-1.02
1924,-0.72
1925,-1.14
1926,0.10
1927,-2.31
1928,0.20
1929,-1.46
1930,-0.70
1931,-0.20
1932,0.15
1933,-0.19
1934,-0.57
1935,-0.19
1936,0.37
1937,0.35
1938,0.61
1939,0.54
1940,-1.10
1941,-0.49
1942,-0.35
1943,0.60
1944,-0.26
1945,-0.83
1946,-1.39
1947,0.60
1948,-0.45
1949,0.34
1950,-0.95
1951,-0.03
1952,0.11
1953,-0.42
1954,-0.37
1955,0.63
1956,-0.52
1957,-0.92
1958,-0.38
1959,0.76
1960,0.15
1961,-0.10
1962,-0.73
1963,-0.75
1964,-1.34
1965,-0.56
1966,-0.57
1967,-1.14
1968,0.39
1969,-0.67
1970,-0.11
1971,-0.93
1972,-0.75
1973,0.19
1974,-0.38
1975,0.39
1976,-1.13
1977,0.18
1978,0.75
1979,-0.46
1980,0.75
1981,-1.13
1982,-1.21
1983,0.63
1984,-0.06
1985,-0.58
1986,-0.85
1987,0.21
1988,0.91
1989,-0.52
1990,0.00
1991,0.36
1992,-1.49
1993,0.08
1994,-1.07
1995,0.50
1996,-1.00
1997,-0.87
1998,0.22
1999,0.40
2000,-0.67
2001,0.41
2002,1.01
2003,0.62
2004,-0.73
2005,1.21
2006,1.08
2007,1.13
2008,-0.51
2009,0.84
2010,1.05
2011,0.54
2012,0.56
2013,-0.59
2014,-0.96
2015,0.25
2016,1.78
2017,-0.32
