37.0 deg N, 76.3 deg W February Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -9999
Year,Value
1880,1.24
1881,-1.17
1882,1.92
1883,0.60
1884,1.14
1885,-3.37
1886,-1.68
1887,1.11
1888,-0.46
1889,-1.97
1890,2.86
1891,1.04
1892,-0.06
1893,-0.58
1894,-0.03
1895,-3.61
1896,-0.23
1897,-0.35
1898,-0.98
1899,-3.15
1900,-1.43
1901,-2.75
1902,-2.84
1903,0.13
1904,-2.79
1905,-4.14
1906,-0.61
1907,-2.21
1908,-2.48
1909,2.02
1910,-1.23
1911,-0.05
1912,-2.21
1913,0.29
1914,-1.87
1915,1.00
1916,-0.47
1917,-1.30
1918,-0.24
1919,-0.56
1920,-1.94
1921,0.86
1922,0.99
1923,-1.46
1924,-1.25
1925,2.00
1926,-0.02
1927,1.88
1928,-0.08
1929,-0.67
1930,1.52
1931,0.45
1932,2.46
1933,0.85
1934,-4.09
1935,-0.42
1936,-2.70
1937,0.13
1938,1.63
1939,1.70
1940,-0.70
1941,-1.74
1942,-1.48
1943,0.13
1944,0.29
1945,0.46
1946,0.38
1947,-1.67
1948,-0.37
1949,2.49
1950,1.13
1951,0.74
1952,1.10
1953,1.30
1954,1.77
1955,-0.20
1956,0.82
1957,1.61
1958,-2.61
1959,0.14
1960,-0.24
1961,0.15
1962,-0.46
1963,-2.69
1964,-1.53
1965,-0.65
1966,-1.47
1967,-1.57
1968,-2.35
1969,-1.15
1970,-1.24
1971,-0.38
1972,-0.68
1973,-0.98
1974,0.16
1975,0.92
1976,2.40
1977,-0.89
1978,-3.94
1979,-3.81
1980,-1.98
1981,0.22
1982,-0.11
1983,-0.04
1984,1.46
1985,-0.41
1986,-0.34
1987,-1.01
1988,-0.69
1989,0.08
1990,2.31
1991,1.48
1992,0.63
1993,-1.45
1994,-0.99
1995,-1.24
1996,-0.86
1997,1.29
1998,1.35
1999,0.83
2000,1.06
2001,0.80
2002,1.47
2003,-1.72
2004,-0.89
2005,0.01
2006,0.03
2007,-2.04
2008,0.74
2009,0.02
2010,-2.03
2011,0.57
2012,1.93
2013,-0.27
2014,-0.50
2015,-3.23
2016,0.56
2017,3.07
