37.0 deg N, 76.3 deg W January Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -9999
Year,Value
1880,2.82
1881,-1.78
1882,0.44
1883,-1.15
1884,-1.95
1885,-0.61
1886,-2.00
1887,-1.12
1888,-0.79
1889,0.52
1890,3.71
1891,0.03
1892,-0.55
1893,-3.69
1894,1.30
1895,-0.88
1896,-0.35
1897,-1.22
1898,1.06
1899,-0.15
1900,0.17
1901,0.01
1902,-1.24
1903,-0.34
1904,-2.62
1905,-1.93
1906,2.03
1907,1.53
1908,-0.37
1909,1.24
1910,-0.55
1911,1.00
1912,-2.67
1913,3.57
1914,1.33
1915,0.74
1916,2.09
1917,0.40
1918,-4.02
1919,1.00
1920,-1.69
1921,0.85
1922,-0.78
1923,0.74
1924,0.25
1925,-0.63
1926,-0.23
1927,-0.22
1928,0.43
1929,0.64
1930,0.94
1931,0.49
1932,4.40
1933,3.43
1934,1.81
1935,-0.22
1936,-1.43
1937,3.84
1938,0.37
1939,1.25
1940,-3.72
1941,-0.18
1942,-0.18
1943,0.43
1944,0.71
1945,-0.51
1946,0.59
1947,2.83
1948,-1.99
1949,3.40
1950,4.93
1951,1.34
1952,2.37
1953,1.95
1954,0.55
1955,-0.15
1956,-0.82
1957,-0.18
1958,-0.60
1959,-0.37
1960,0.72
1961,-1.73
1962,-0.26
1963,-1.26
1964,0.02
1965,-0.56
1966,-1.70
1967,1.26
1968,-1.95
1969,-1.13
1970,-2.69
1971,-1.59
1972,1.50
1973,0.43
1974,2.87
1975,1.61
1976,-0.75
1977,-4.19
1978,-2.01
1979,-0.60
1980,0.11
1981,-2.36
1982,-2.60
1983,0.54
1984,-1.53
1985,-1.51
1986,-0.03
1987,-0.34
1988,-2.03
1989,1.28
1990,2.23
1991,0.87
1992,0.59
1993,1.37
1994,-2.32
1995,1.14
1996,-1.07
1997,-0.18
1998,2.09
1999,1.32
2000,-0.02
2001,-0.71
2002,2.08
2003,-1.62
2004,-1.50
2005,0.65
2006,2.66
2007,2.31
2008,0.65
2009,-1.31
2010,-0.62
2011,-1.52
2012,1.64
2013,1.53
2014,-1.58
2015,-0.22
2016,0.24
2017,2.29
