37.0 deg N, 76.3 deg W July Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -9999
Year,Value
1880,-0.22
1881,-0.20
1882,-1.38
1883,-0.74
1884,-1.76
1885,-0.60
1886,-1.48
1887,0.27
1888,-1.71
1889,-1.28
1890,-1.36
1891,-2.45
1892,-1.25
1893,-0.81
1894,-0.39
1895,-1.88
1896,-0.56
1897,-0.42
1898,0.01
1899,-0.40
1900,0.14
1901,0.68
1902,-0.54
1903,-0.64
1904,-0.81
1905,-0.49
1906,-0.86
1907,-0.78
1908,-0.01
1909,-1.69
1910,-0.62
1911,0.03
1912,-0.75
1913,-0.26
1914,-0.96
1915,-0.79
1916,-1.06
1917,-1.06
1918,-1.70
1919,-0.89
1920,-1.77
1921,0.31
1922,-0.71
1923,-1.29
1924,-1.51
1925,-0.46
1926,-0.69
1927,-1.20
1928,-0.56
1929,-1.09
1930,0.28
1931,0.52
1932,-0.28
1933,-1.06
1934,1.00
1935,-0.09
1936,-0.34
1937,-0.56
1938,-0.54
1939,-0.83
1940,-0.79
1941,-0.26
1942,0.28
1943,0.13
1944,-0.01
1945,-0.72
1946,-0.98
1947,-1.36
1948,-0.28
1949,1.04
1950,-0.93
1951,0.00
1952,0.76
1953,0.15
1954,-0.36
1955,0.93
1956,-0.65
1957,-0.27
1958,0.01
1959,-0.24
1960,-1.08
1961,-0.36
1962,-1.47
1963,-0.78
1964,-0.46
1965,-1.15
1966,-0.03
1967,-1.30
1968,-0.41
1969,-0.23
1970,-0.76
1971,-0.84
1972,-0.76
1973,-0.23
1974,-0.76
1975,-0.94
1976,-1.10
1977,0.27
1978,-1.04
1979,-1.24
1980,0.05
1981,-0.13
1982,-0.26
1983,0.04
1984,-1.38
1985,-0.52
1986,0.49
1987,0.89
1988,0.28
1989,-0.27
1990,0.14
1991,0.75
1992,-0.37
1993,0.86
1994,0.66
1995,0.25
1996,-1.28
1997,-0.29
1998,0.02
1999,1.00
2000,-1.15
2001,-1.28
2002,0.72
2003,-0.42
2004,-0.17
2005,1.01
2006,0.58
2007,-0.66
2008,0.10
2009,-1.00
2010,1.46
2011,1.46
2012,1.65
2013,0.69
2014,-0.30
2015,0.29
2016,0.98
2017,0.83
