37.0 deg N, 76.3 deg W March Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -9999
Year,Value
1880,0.01
1881,-1.75
1882,0.09
1883,-2.52
1884,-0.62
1885,-3.22
1886,-1.08
1887,-1.90
1888,-2.08
1889,-1.00
1890,-1.09
1891,-2.37
1892,-2.07
1893,-1.16
1894,1.55
1895,-1.27
1896,-2.17
1897,0.16
1898,1.44
1899,-0.62
1900,-1.76
1901,-0.44
1902,0.17
1903,2.27
1904,-0.83
1905,0.02
1906,-2.16
1907,0.90
1908,1.02
1909,-1.00
1910,1.57
1911,-1.58
1912,-1.25
1913,1.79
1914,-2.35
1915,-2.33
1916,-1.88
1917,-0.62
1918,0.38
1919,0.48
1920,-0.36
1921,3.72
1922,0.55
1923,-0.17
1924,-1.22
1925,0.76
1926,-2.08
1927,0.60
1928,-0.34
1929,1.90
1930,-0.31
1931,-1.75
1932,-1.28
1933,-0.52
1934,-1.37
1935,1.66
1936,1.26
1937,-0.95
1938,1.76
1939,0.85
1940,-1.85
1941,-2.64
1942,0.34
1943,-0.22
1944,-0.83
1945,3.83
1946,2.48
1947,-2.06
1948,0.99
1949,0.60
1950,-0.80
1951,0.26
1952,-0.38
1953,0.47
1954,-0.05
1955,0.94
1956,-0.82
1957,0.07
1958,-1.91
1959,-0.48
1960,-4.36
1961,0.52
1962,-1.17
1963,0.82
1964,-0.16
1965,-1.83
1966,-0.47
1967,-0.61
1968,0.26
1969,-2.10
1970,-1.89
1971,-1.53
1972,-0.27
1973,1.61
1974,1.15
1975,-0.51
1976,1.66
1977,1.46
1978,-1.81
1979,0.48
1980,-1.11
1981,-1.31
1982,-0.26
1983,0.61
1984,-1.49
1985,0.79
1986,0.37
1987,0.09
1988,-0.22
1989,-0.03
1990,1.52
1991,0.98
1992,-0.67
1993,-1.57
1994,-0.52
1995,0.58
1996,-2.07
1997,0.87
1998,0.07
1999,-0.99
2000,1.72
2001,-1.15
2002,0.88
2003,0.55
2004,0.43
2005,-1.64
2006,0.17
2007,0.86
2008,0.60
2009,-0.25
2010,1.01
2011,0.00
2012,4.03
2013,-1.52
2014,-1.89
2015,-0.71
2016,2.57
2017,0.25
