37.0 deg N, 76.3 deg W September Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -9999
Year,Value
1880,-0.43
1881,2.33
1882,-0.43
1883,-2.19
1884,0.63
1885,-0.91
1886,-0.35
1887,-1.81
1888,-1.60
1889,-1.26
1890,-0.44
1891,0.17
1892,-0.96
1893,-1.08
1894,0.91
1895,0.94
1896,-0.72
1897,-0.23
1898,0.81
1899,-0.78
1900,2.05
1901,0.03
1902,-0.80
1903,-0.95
1904,-0.34
1905,-0.56
1906,1.14
1907,0.30
1908,-1.16
1909,-1.23
1910,0.35
1911,0.68
1912,0.74
1913,-0.55
1914,-1.16
1915,0.88
1916,-1.05
1917,-2.01
1918,-1.89
1919,-0.28
1920,0.09
1921,2.11
1922,0.30
1923,-0.07
1924,-2.07
1925,1.56
1926,0.12
1927,-0.12
1928,-1.24
1929,-0.08
1930,1.90
1931,1.72
1932,-0.10
1933,1.45
1934,0.64
1935,-0.84
1936,0.48
1937,-0.93
1938,-0.46
1939,0.72
1940,-1.40
1941,0.94
1942,0.53
1943,-0.63
1944,0.47
1945,1.13
1946,0.16
1947,0.90
1948,-0.32
1949,-0.70
1950,-1.06
1951,0.28
1952,-0.20
1953,-0.02
1954,0.30
1955,0.09
1956,-0.89
1957,0.73
1958,-0.63
1959,0.80
1960,0.36
1961,1.55
1962,-1.34
1963,-1.43
1964,-0.63
1965,0.23
1966,-1.13
1967,-1.90
1968,-0.19
1969,-0.25
1970,1.21
1971,0.83
1972,0.07
1973,0.82
1974,-0.33
1975,-0.88
1976,-0.81
1977,0.86
1978,0.46
1979,-0.19
1980,1.31
1981,-0.80
1982,-0.65
1983,0.17
1984,-1.26
1985,0.12
1986,-0.22
1987,0.34
1988,-0.86
1989,0.28
1990,-0.22
1991,0.01
1992,-0.34
1993,0.27
1994,-0.96
1995,-0.46
1996,-0.52
1997,-0.46
1998,1.27
1999,-0.02
2000,-0.62
2001,-0.49
2002,1.14
2003,0.25
2004,0.48
2005,1.60
2006,-0.75
2007,1.17
2008,0.41
2009,0.00
2010,1.22
2011,0.63
2012,0.54
2013,0.06
2014,0.53
2015,1.57
2016,2.26
2017,0.37
