"","V1","V2","V3","V4"
"gpd3",5545.61282735055,5557.25442630975,13855.0620047852,0.0173190215789432
"gpd4",5537.2407991266,5552.7629310722,13830.9909983774,0.854944344778534
"gpd5",5539.14842185961,5558.55108679161,13832.7091401541,0.121889293218933
"gpd6",5540.90292155785,5564.18611947625,13834.2300632172,0.00584734042358957
"gpd3",2883.1986607637,2893.21127500281,7199.00370812838,0.677474560830068
"gpd4",2885.17637037781,2898.52652269661,7200.32340148226,0.259335416291463
"gpd5",2887.17742849631,2903.86511889482,7202.36612739452,0.0588980029843874
"gpd6",2888.71388902739,2908.7391175056,7203.01976838119,0.00429201989408155
"gpd3",2482.77697214291,2492.50221318809,6198.23261508756,0.750846868561377
"gpd4",2484.72836147934,2497.69534953958,6199.7771279055,0.19115971470149
"gpd5",2485.25786768663,2501.46660276193,6198.25369358971,0.0539095774540817
"gpd6",2486.83238255956,2506.28286464992,6199.03942410621,0.00408383928305157
